"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"73009700","2007-06-01","2014-07-01","44","0.2107","0.0444","0.169723"," "
"","","","","","","",""
"47009500","1990-05-01","1992-09-01","17","-2e-04","0","0.99946"," "
"","","","","","","",""
"73006400","1996-05-01","2000-09-01","29","0.5048","0.2548","0.005228","**"
"73006400","2001-05-01","2012-09-01","71","0.4265","0.1819","0.000209","***"
"","","","","","","",""
"18032900","1990-05-01","2001-09-01","71","-0.0415","0.0017","0.730824"," "
"18032900","2002-05-01","2009-09-01","47","0.143","0.0205","0.337525"," "
"","","","","","","",""
"18025900","1990-05-01","1993-05-01","19","0.323","0.1043","0.177367"," "
"18025900","1994-05-01","1997-10-01","24","-0.1567","0.0246","0.464518"," "
"18025900","2010-05-01","2015-08-01","34","-0.0833","0.0069","0.63964"," "
"","","","","","","",""
"21016000","2004-05-01","2009-09-01","35","-0.0529","0.0028","0.762672"," "
"21016000","2010-05-01","2013-05-01","19","0.4649","0.2161","0.044923","*"
"","","","","","","",""
"18022600","1999-05-01","2014-05-01","91","0.4155","0.1726","4.2e-05","***"
"","","","","","","",""
"18021200","2001-05-01","2005-08-01","28","-0.024","6e-04","0.903427"," "
"","","","","","","",""
"10006300","2009-07-01","2013-09-01","27","0.6467","0.4182","0.000268","***"
"","","","","","","",""
"10001000","1998-05-01","2004-10-01","42","0.3366","0.1133","0.02926","*"
"10001000","2006-05-01","2017-05-01","67","0.2287","0.0523","0.062643","."
"","","","","","","",""
"27015900","2005-05-01","2017-07-01","75","0.0699","0.0049","0.551471"," "
"","","","","","","",""
"31036100","1993-05-01","1999-05-01","37","0.2849","0.0812","0.087382","."
"31036100","2002-05-01","2008-05-01","37","0.2599","0.0676","0.120247"," "
"","","","","","","",""
"27004400","1993-06-01","2009-09-01","100","0.2466","0.0608","0.013373","*"
"","","","","","","",""
"2008900","1990-05-01","2000-09-01","65","-0.0296","9e-04","0.815007"," "
"2008900","2001-05-01","2004-08-01","22","0.2572","0.0662","0.247856"," "
"2008900","2004-10-01","2007-10-01","19","-0.4192","0.1757","0.073992","."
"2008900","2010-05-01","2013-09-01","23","0.0321","0.001","0.884399"," "
"","","","","","","",""
"82013600","1998-05-01","2003-09-01","35","0.5867","0.3443","0.000212","***"
"","","","","","","",""
"82010900","1990-05-01","1998-06-01","50","0.0445","0.002","0.75887"," "
"82010900","2002-07-01","2008-08-01","38","0.1866","0.0348","0.261981"," "
"82010900","2013-05-01","2016-09-01","23","0.3387","0.1147","0.113889"," "
"","","","","","","",""
"82036800","2002-05-01","2005-08-01","22","0.0103","1e-04","0.963853"," "
"82036800","2005-10-01","2017-09-01","72","0.0432","0.0019","0.718698"," "
"","","","","","","",""
"82007400","1990-05-01","1998-06-01","50","-0.1265","0.016","0.381466"," "
"82007400","2002-07-01","2012-09-01","63","-0.0217","5e-04","0.866011"," "
"","","","","","","",""
"82005400","2004-05-01","2011-09-01","47","0.1584","0.0251","0.287564"," "
"","","","","","","",""
"82003000","1996-05-01","2009-09-01","83","0.3064","0.0939","0.004842","**"
"","","","","","","",""
"82005900","1994-06-01","2000-10-01","41","0.1886","0.0356","0.237671"," "
"82005900","2001-06-01","2014-05-01","78","0.0455","0.0021","0.692192"," "
"","","","","","","",""
"69002700","1990-08-01","1993-08-01","19","0.5543","0.3073","0.01378","*"
"69002700","1996-05-01","2001-08-01","34","0.2553","0.0652","0.145086"," "
"69002700","2002-05-01","2008-05-01","37","0.1976","0.0391","0.241025"," "
"69002700","2009-05-01","2017-05-01","49","0.3977","0.1582","0.004654","**"
"","","","","","","",""
"3058200","2000-05-01","2003-09-01","23","0.0595","0.0035","0.787265"," "
"","","","","","","",""
"3028700","1994-05-01","1997-07-01","21","0.0981","0.0096","0.672418"," "
"","","","","","","",""
"21009200","2007-05-01","2017-08-01","64","0.2007","0.0403","0.11188"," "
"","","","","","","",""
"3013600","2003-08-01","2006-09-01","20","-0.0531","0.0028","0.824063"," "
"3013600","2013-05-01","2017-07-01","27","0.2922","0.0854","0.139211"," "
"","","","","","","",""
"40009202","1990-06-01","2017-10-01","167","0.2045","0.0418","0.00802","**"
"","","","","","","",""
"47006800","1991-06-01","2006-10-01","95","0.5324","0.2834","0","***"
"","","","","","","",""
"29025400","1991-05-01","1994-09-01","23","0.4244","0.1801","0.043563","*"
"29025400","2008-05-01","2016-10-01","54","0.633","0.4006","0","***"
"","","","","","","",""
"77008900","2006-07-01","2009-07-01","19","-0.0776","0.006","0.752256"," "
"77008900","2009-09-01","2012-09-01","19","0.5285","0.2794","0.019991","*"
"","","","","","","",""
"77006700","1998-06-01","2001-09-01","22","0.3459","0.1196","0.114832"," "
"","","","","","","",""
"11016700","1995-05-01","1998-08-01","22","-0.0793","0.0063","0.72585"," "
"11016700","2002-05-01","2006-09-01","29","0.1937","0.0375","0.313911"," "
"11016700","2007-05-01","2010-09-01","23","-0.1256","0.0158","0.568088"," "
"","","","","","","",""
"18025100","1990-05-01","2001-09-01","71","0.1117","0.0125","0.353616"," "
"18025100","2002-05-01","2009-09-01","47","0.1751","0.0307","0.239154"," "
"18025100","2011-05-01","2014-09-01","23","0.0862","0.0074","0.695683"," "
"18025100","2015-05-01","2017-10-01","18","0.2085","0.0435","0.406424"," "
"","","","","","","",""
"4011100","1990-05-01","2001-08-01","70","0.3972","0.1578","0.000662","***"
"4011100","2002-05-01","2006-07-01","27","0.3376","0.114","0.085029","."
"4011100","2006-09-01","2011-09-01","31","0.2511","0.063","0.173084"," "
"4011100","2012-05-01","2017-10-01","36","0.348","0.1211","0.037528","*"
"","","","","","","",""
"13003100","1990-05-01","1993-10-01","24","3e-04","0","0.998897"," "
"13003100","1996-05-01","2006-10-01","66","0.4264","0.1818","0.000357","***"
"","","","","","","",""
"31062400","1993-05-01","2008-08-01","94","0.3602","0.1297","0.000362","***"
"31062400","2012-05-01","2016-09-01","29","0.462","0.2135","0.011623","*"
"","","","","","","",""
"80003900","1999-05-01","2017-08-01","112","0.1279","0.0164","0.17899"," "
"","","","","","","",""
"73005500","1990-05-01","1994-09-01","29","0.4314","0.1861","0.01946","*"
"73005500","2002-05-01","2005-09-01","23","0.2595","0.0673","0.231822"," "
"","","","","","","",""
"18040700","1991-06-01","1996-09-01","34","0.1032","0.0106","0.561405"," "
"18040700","2004-05-01","2014-09-01","65","0.0365","0.0013","0.773133"," "
"","","","","","","",""
"18033500","1990-05-01","2001-09-01","71","0.0333","0.0011","0.783042"," "
"18033500","2002-05-01","2009-09-01","47","0.2531","0.064","0.086102","."
"","","","","","","",""
"86021700","2002-05-01","2008-09-01","41","0.4102","0.1683","0.007731","**"
"86021700","2012-05-01","2016-10-01","30","0.6074","0.3689","0.000371","***"
"","","","","","","",""
"43001200","1994-05-01","1997-07-01","21","0.3927","0.1542","0.07827","."
"43001200","2001-05-01","2004-10-01","24","0.7125","0.5077","9.4e-05","***"
"43001200","2006-05-01","2011-05-01","31","0.319","0.1017","0.080295","."
"","","","","","","",""
"7005300","1991-05-01","2000-06-01","56","0.4558","0.2077","0.000415","***"
"7005300","2000-09-01","2013-08-01","78","0.4703","0.2211","1.4e-05","***"
"","","","","","","",""
"86002300","1991-09-01","1996-09-01","31","0.0079","1e-04","0.966352"," "
"86002300","2010-05-01","2014-05-01","25","0.3082","0.095","0.133912"," "
"","","","","","","",""
"10001400","2001-10-01","2007-09-01","36","0.3573","0.1277","0.032385","*"
"","","","","","","",""
"2011000","1991-08-01","2007-08-01","97","0.0727","0.0053","0.479332"," "
"2011000","2014-05-01","2017-09-01","23","-0.317","0.1005","0.140465"," "
"","","","","","","",""
"1010100","2007-05-01","2014-05-01","43","0.2056","0.0423","0.186049"," "
"","","","","","","",""
"31014100","1993-08-01","1996-09-01","20","0.2966","0.088","0.204098"," "
"31014100","1997-05-01","2009-07-01","75","0.3677","0.1352","0.001172","**"
"","","","","","","",""
"2004500","1990-05-01","2005-05-01","91","0.4339","0.1883","1.7e-05","***"
"2004500","2011-08-01","2017-10-01","39","0.5932","0.3519","6.9e-05","***"
"","","","","","","",""
"21014000","2001-05-01","2004-09-01","23","0.3146","0.099","0.143745"," "
"21014000","2007-05-01","2011-09-01","29","0.3167","0.1003","0.094155","."
"","","","","","","",""
"82016200","1996-05-01","2007-08-01","70","0.4912","0.2413","1.6e-05","***"
"","","","","","","",""
"82011602","1999-05-01","2009-10-01","66","0.4418","0.1952","0.000204","***"
"","","","","","","",""
"82009000","2000-06-01","2012-09-01","76","0.4643","0.2155","2.4e-05","***"
"","","","","","","",""
"82006700","1997-10-01","2001-10-01","25","0.3023","0.0914","0.141872"," "
"82006700","2008-05-01","2011-10-01","24","-0.2826","0.0798","0.180956"," "
"","","","","","","",""
"69012300","1995-08-01","1998-09-01","20","-0.2219","0.0492","0.347053"," "
"69012300","2001-05-01","2006-08-01","34","0.2301","0.0529","0.190532"," "
"69012300","2007-05-01","2013-08-01","40","0.3255","0.1059","0.040428","*"
"","","","","","","",""
"61013000","1990-05-01","2000-09-01","65","0.1826","0.0333","0.145418"," "
"61013000","2008-05-01","2011-07-01","21","0.2167","0.047","0.34534"," "
"","","","","","","",""
"61006000","2001-05-01","2004-10-01","24","0.3519","0.1238","0.091772","."
"61006000","2006-05-01","2011-09-01","35","0.3401","0.1157","0.045572","*"
"","","","","","","",""
"3058800","1990-05-01","1997-07-01","45","0.3112","0.0969","0.037444","*"
"3058800","1997-09-01","2010-07-01","77","0.1347","0.0182","0.242652"," "
"3058800","2010-09-01","2015-08-01","30","0.4084","0.1668","0.025048","*"
"","","","","","","",""
"56025300","1996-07-01","2006-08-01","62","0.1816","0.033","0.15775"," "
"","","","","","","",""
"56024000","1991-05-01","1993-10-01","18","0.585","0.3422","0.010767","*"
"56024000","1997-07-01","2006-08-01","56","0.2145","0.046","0.112407"," "
"56024000","2007-05-01","2014-07-01","45","0.1977","0.0391","0.193059"," "
"","","","","","","",""
"56013000","1990-05-01","1993-10-01","24","0.235","0.0552","0.269052"," "
"56013000","2005-09-01","2016-05-01","63","0.4699","0.2208","0.000102","***"
"","","","","","","",""
"21008100","1997-05-01","2006-09-01","59","0.2577","0.0664","0.048766","*"
"","","","","","","",""
"21005700","1991-05-01","1994-05-01","19","0.5386","0.2901","0.017342","*"
"","","","","","","",""
"21007600","2007-05-01","2012-09-01","35","0.3497","0.1223","0.039479","*"
"","","","","","","",""
"60030500","2007-07-01","2010-08-01","20","0.2865","0.0821","0.220765"," "
"","","","","","","",""
"60003200","2007-07-01","2010-08-01","20","0.313","0.098","0.179016"," "
"","","","","","","",""
"40011700","1992-05-01","1995-09-01","23","0.657","0.4317","0.000659","***"
"40011700","2002-05-01","2008-10-01","42","0.292","0.0853","0.060576","."
"","","","","","","",""
"29025600","1994-05-01","2014-09-01","125","0.4669","0.218","0","***"
"","","","","","","",""
"29014300","1994-05-01","2001-09-01","47","0.0681","0.0046","0.649146"," "
"29014300","2003-05-01","2009-05-01","37","-0.1128","0.0127","0.506255"," "
"","","","","","","",""
"49013700","2000-06-01","2005-09-01","34","0.0586","0.0034","0.742171"," "
"49013700","2006-05-01","2015-05-01","55","0.2503","0.0627","0.065304","."
"","","","","","","",""
"18022700","1996-05-01","2014-09-01","113","0.2615","0.0684","0.005149","**"
"","","","","","","",""
"29006100","2001-05-01","2005-05-01","25","0.3679","0.1353","0.070424","."
"29006100","2006-05-01","2012-07-01","39","-0.0336","0.0011","0.839038"," "
"","","","","","","",""
"82005200","1997-06-01","2001-10-01","29","0.4441","0.1972","0.015811","*"
"82005200","2002-06-01","2009-05-01","42","0.3932","0.1546","0.009992","**"
"","","","","","","",""
"1020400","1992-05-01","2000-05-01","49","0.3159","0.0998","0.027023","*"
"1020400","2007-06-01","2011-09-01","28","-0.0366","0.0013","0.853363"," "
"1020400","2013-05-01","2016-09-01","23","0.3538","0.1252","0.097648","."
"","","","","","","",""
"31033400","2001-05-01","2005-09-01","29","0.2941","0.0865","0.12146"," "
"31033400","2006-05-01","2012-09-01","41","0.272","0.074","0.085334","."
"","","","","","","",""
"69066000","1991-09-01","1999-05-01","45","0.4603","0.2119","0.001464","**"
"","","","","","","",""
"21014400","1993-05-01","2017-10-01","150","0.0912","0.0083","0.267176"," "
"","","","","","","",""
"11030400","1998-05-01","2003-05-01","31","0.4587","0.2104","0.009444","**"
"11030400","2007-05-01","2013-06-01","38","0.3464","0.12","0.033153","*"
"","","","","","","",""
"4015200","2000-07-01","2006-09-01","39","0.1668","0.0278","0.310087"," "
"","","","","","","",""
"29014800","2003-09-01","2016-10-01","80","0.3874","0.1501","0.000385","***"
"","","","","","","",""
"29008700","1991-07-01","2000-07-01","55","0.2722","0.0741","0.044403","*"
"29008700","2001-05-01","2007-05-01","37","0.1182","0.014","0.485783"," "
"","","","","","","",""
"18039200","1990-05-01","1997-10-01","48","0.0475","0.0023","0.748408"," "
"","","","","","","",""
"18037600","1990-07-01","1994-06-01","24","0.5474","0.2996","0.005631","**"
"","","","","","","",""
"86022300","1992-05-01","1997-09-01","35","-0.0304","9e-04","0.862502"," "
"86022300","2012-05-01","2015-10-01","24","0.2489","0.0619","0.240943"," "
"","","","","","","",""
"10002900","2000-05-01","2005-08-01","34","0.5442","0.2962","0.000877","***"
"10002900","2005-10-01","2010-08-01","29","0.3141","0.0987","0.097055","."
"","","","","","","",""
"10005600","1998-05-01","2000-10-01","18","0.7161","0.5128","0.00083","***"
"10005600","2001-10-01","2004-10-01","19","0.6797","0.462","0.001367","**"
"","","","","","","",""
"10001900","1998-06-01","2003-09-01","34","0.6918","0.4785","6e-06","***"
"10001900","2004-05-01","2013-09-01","59","0.397","0.1576","0.001853","**"
"","","","","","","",""
"27011900","1990-05-01","2017-10-01","168","0.3295","0.1086","1.3e-05","***"
"","","","","","","",""
"19003100","1992-05-01","1998-06-01","38","0.6022","0.3626","6.3e-05","***"
"19003100","1998-08-01","2006-10-01","51","0.5812","0.3378","8e-06","***"
"19003100","2007-06-01","2015-08-01","51","0.6014","0.3616","3e-06","***"
"","","","","","","",""
"69088700","2004-05-01","2011-09-01","47","0.3447","0.1188","0.017662","*"
"","","","","","","",""
"82014700","2005-05-01","2007-10-01","18","0.1431","0.0205","0.571013"," "
"","","","","","","",""
"82013300","1993-05-01","1998-09-01","35","0.2824","0.0797","0.100273"," "
"","","","","","","",""
"82012500","2002-06-01","2008-09-01","40","0.2011","0.0404","0.213477"," "
"82012500","2009-05-01","2017-09-01","53","0.0777","0.006","0.580274"," "
"","","","","","","",""
"82012000","1998-07-01","2001-10-01","22","0.6449","0.416","0.001192","**"
"","","","","","","",""
"13002900","2000-10-01","2003-09-01","18","0.5226","0.2731","0.026066","*"
"13002900","2006-05-01","2011-09-01","35","0.0544","0.003","0.756144"," "
"","","","","","","",""
"82030500","1997-05-01","2003-10-01","42","0.5659","0.3202","9.4e-05","***"
"","","","","","","",""
"82001800","1996-05-01","2008-05-01","73","0.154","0.0237","0.193262"," "
"82001800","2008-07-01","2012-05-01","23","0.1353","0.0183","0.538331"," "
"","","","","","","",""
"82004600","1997-05-01","2009-05-01","73","0.2675","0.0715","0.022165","*"
"82004600","2009-07-01","2014-08-01","32","0.6417","0.4118","7.5e-05","***"
"","","","","","","",""
"58002400","2000-08-01","2017-05-01","100","0.2342","0.0549","0.018995","*"
"","","","","","","",""
"1017000","2009-05-01","2013-08-01","28","0.3827","0.1464","0.044444","*"
"","","","","","","",""
"3015500","2003-05-01","2007-09-01","29","0.2403","0.0578","0.209217"," "
"","","","","","","",""
"21005200","2003-05-01","2006-09-01","23","0.1499","0.0225","0.494764"," "
"21005200","2007-05-01","2011-10-01","30","0.2942","0.0866","0.114537"," "
"","","","","","","",""
"34016900","1997-10-01","2001-07-01","22","0.57","0.3249","0.005614","**"
"34016900","2001-09-01","2006-07-01","29","0.3785","0.1433","0.042893","*"
"34016900","2013-05-01","2016-09-01","23","0.6609","0.4368","0.000597","***"
"","","","","","","",""
"18030800","1990-05-01","2001-09-01","71","0.3795","0.144","0.0011","**"
"18030800","2002-05-01","2007-07-01","33","0.3571","0.1276","0.041311","*"
"","","","","","","",""
"31092100","1996-06-01","2011-09-01","94","0.3974","0.1579","7.3e-05","***"
"","","","","","","",""
"31041300","1990-05-01","2002-05-01","73","0.1109","0.0123","0.350219"," "
"31041300","2002-07-01","2011-07-01","55","0.0307","9e-04","0.823918"," "
"","","","","","","",""
"69073600","1992-09-01","1997-05-01","27","0.3913","0.1531","0.043564","*"
"69073600","1998-05-01","2004-07-01","39","0.0059","0","0.97159"," "
"69073600","2004-09-01","2016-05-01","69","0.438","0.1919","0.000167","***"
"","","","","","","",""
"69037800","1990-05-01","1999-09-01","59","0.201","0.0404","0.126884"," "
"69037800","2001-05-01","2012-08-01","70","0.2284","0.0522","0.057237","."
"","","","","","","",""
"69049500","2003-05-01","2006-09-01","23","0.1764","0.0311","0.420607"," "
"","","","","","","",""
"69028501","1993-05-01","1996-09-01","23","0.1635","0.0267","0.455889"," "
"","","","","","","",""
"69004100","2002-05-01","2005-09-01","23","0.2076","0.0431","0.341785"," "
"69004100","2013-06-01","2016-09-01","22","0.1928","0.0372","0.390071"," "
"","","","","","","",""
"34025100","1993-10-01","2000-09-01","42","0.4013","0.161","0.008444","**"
"34025100","2001-05-01","2006-10-01","36","0.3933","0.1547","0.017637","*"
"34025100","2007-06-01","2016-09-01","58","0.39","0.1521","0.002479","**"
"","","","","","","",""
"1012300","1998-05-01","2001-09-01","23","0.4363","0.1904","0.037401","*"
"","","","","","","",""
"31021600","1995-05-01","2007-09-01","77","0.3091","0.0955","0.006236","**"
"31021600","2009-05-01","2013-09-01","29","0.2149","0.0462","0.262892"," "
"","","","","","","",""
"60029300","2000-06-01","2007-05-01","42","0.0761","0.0058","0.632091"," "
"60029300","2007-07-01","2010-08-01","20","0.005","0","0.983422"," "
"","","","","","","",""
"3035800","1999-10-01","2002-09-01","18","-0.0219","5e-04","0.931245"," "
"3035800","2005-05-01","2013-09-01","53","0.4982","0.2482","0.000147","***"
"","","","","","","",""
"60001200","2007-07-01","2010-08-01","20","0.1332","0.0177","0.575616"," "
"","","","","","","",""
"47008200","1996-05-01","2000-09-01","29","0.6687","0.4471","7.3e-05","***"
"","","","","","","",""
"18032000","2003-05-01","2014-09-01","71","0.1066","0.0114","0.37626"," "
"","","","","","","",""
"18034200","1990-05-01","2001-09-01","71","0.1326","0.0176","0.270226"," "
"18034200","2002-05-01","2009-09-01","47","0.155","0.024","0.298224"," "
"18034200","2010-05-01","2013-08-01","22","-0.2794","0.078","0.20801"," "
"","","","","","","",""
"86005300","1990-05-01","1999-09-01","59","-0.1392","0.0194","0.293093"," "
"86005300","2007-05-01","2010-05-01","19","0.1061","0.0113","0.665476"," "
"86005300","2013-05-01","2016-10-01","24","0.3559","0.1267","0.087835","."
"","","","","","","",""
"10021800","1999-10-01","2003-08-01","23","0.7055","0.4977","0.00017","***"
"10021800","2004-05-01","2012-08-01","52","0.3381","0.1143","0.014216","*"
"","","","","","","",""
"31036600","1998-05-01","2002-09-01","29","-0.097","0.0094","0.616572"," "
"31036600","2003-05-01","2006-05-01","19","0.5173","0.2676","0.023316","*"
"","","","","","","",""
"27015800","1998-06-01","2001-08-01","21","0.4757","0.2263","0.029295","*"
"27015800","2005-05-01","2009-08-01","28","0.0167","3e-04","0.932731"," "
"","","","","","","",""
"27010800","1998-06-01","2001-07-01","20","0.3035","0.0921","0.193297"," "
"27010800","2009-10-01","2016-10-01","43","0.0091","1e-04","0.953677"," "
"","","","","","","",""
"27011800","1990-05-01","2017-10-01","168","0.5195","0.2699","0","***"
"","","","","","","",""
"31007800","1992-05-01","1996-05-01","25","0.555","0.3081","0.003979","**"
"31007800","1999-09-01","2004-09-01","31","0.3687","0.136","0.041233","*"
"31007800","2005-05-01","2009-09-01","29","0.2708","0.0733","0.155432"," "
"","","","","","","",""
"2000900","1990-07-01","2001-06-01","66","0.3432","0.1178","0.004792","**"
"2000900","2002-05-01","2007-08-01","34","0.2792","0.078","0.109768"," "
"2000900","2009-05-01","2015-09-01","41","0.3682","0.1356","0.017857","*"
"","","","","","","",""
"30000900","1990-05-01","1997-09-01","47","0.4203","0.1766","0.003269","**"
"30000900","1998-05-01","2001-05-01","19","0.2845","0.0809","0.237841"," "
"30000900","2008-09-01","2017-06-01","52","0.5521","0.3048","2.2e-05","***"
"","","","","","","",""
"2003600","1996-05-01","2000-06-01","26","-0.0292","9e-04","0.887264"," "
"2003600","2000-08-01","2005-08-01","31","0.4598","0.2114","0.009262","**"
"2003600","2006-05-01","2014-06-01","50","0.1474","0.0217","0.307041"," "
"","","","","","","",""
"82010700","1999-05-01","2002-05-01","19","0.465","0.2162","0.044841","*"
"82010700","2002-08-01","2006-06-01","23","-0.0424","0.0018","0.847662"," "
"82010700","2011-09-01","2014-08-01","18","0.596","0.3552","0.009051","**"
"","","","","","","",""
"82007200","1998-05-01","2001-10-01","24","0.3804","0.1447","0.066665","."
"82007200","2005-05-01","2013-08-01","52","-8e-04","0","0.995382"," "
"","","","","","","",""
"69023100","1990-10-01","1993-09-01","18","0.4766","0.2271","0.04555","*"
"69023100","1999-05-01","2010-05-01","67","0.1761","0.031","0.153994"," "
"69023100","2010-08-01","2017-08-01","43","0.3863","0.1492","0.010516","*"
"","","","","","","",""
"27011600","1990-05-01","2001-08-01","70","0.3878","0.1504","0.00091","***"
"27011600","2002-09-01","2017-10-01","92","0.4132","0.1707","4.3e-05","***"
"","","","","","","",""
"56052300","1999-05-01","2015-08-01","100","0.1996","0.0399","0.046445","*"
"","","","","","","",""
"56029800","2000-05-01","2003-09-01","23","0.2354","0.0554","0.279484"," "
"","","","","","","",""
"21005400","1997-05-01","2001-09-01","29","0.1332","0.0177","0.490862"," "
"","","","","","","",""
"34022400","1996-06-01","1999-05-01","18","0.4475","0.2002","0.06259","."
"","","","","","","",""
"34019200","1991-05-01","1994-08-01","22","-0.0413","0.0017","0.855357"," "
"","","","","","","",""
"29016100","1994-05-01","1997-09-01","23","0.0253","6e-04","0.90863"," "
"29016100","2000-05-01","2005-05-01","31","0.3615","0.1307","0.045716","*"
"29016100","2007-10-01","2011-06-01","21","0.1115","0.0124","0.630298"," "
"","","","","","","",""
"18020300","2003-05-01","2011-06-01","50","0.2835","0.0804","0.046051","*"
"18020300","2012-05-01","2017-08-01","34","0.642","0.4122","4.3e-05","***"
"","","","","","","",""
"18009300","1991-06-01","1998-05-01","42","0.2809","0.0789","0.071507","."
"18009300","2009-05-01","2013-06-01","26","0.3594","0.1291","0.07138","."
"","","","","","","",""
"31081200","1991-05-01","1995-05-01","25","0.124","0.0154","0.554796"," "
"","","","","","","",""
"40009200","1997-05-01","2011-10-01","90","0.3075","0.0945","0.0032","**"
"","","","","","","",""
"10005900","1997-05-01","2012-09-01","95","0.3156","0.0996","0.00184","**"
"","","","","","","",""
"70007200","1994-05-01","2002-07-01","51","0.3536","0.1251","0.010905","*"
"","","","","","","",""
"13006800","1994-05-01","1996-10-01","18","0.4395","0.1932","0.067976","."
"13006800","2008-05-01","2012-09-01","29","0.4489","0.2015","0.014591","*"
"","","","","","","",""
"1008700","1995-06-01","2001-09-01","40","0.3192","0.1019","0.044658","*"
"","","","","","","",""
"58012300","1990-05-01","1995-05-01","31","0.3089","0.0954","0.090912","."
"58012300","2005-05-01","2009-08-01","28","0.0894","0.008","0.651061"," "
"58012300","2013-05-01","2017-10-01","30","0.6628","0.4393","6.6e-05","***"
"","","","","","","",""
"21008300","1993-05-01","2001-09-01","53","0.2349","0.0552","0.090487","."
"","","","","","","",""
"29014600","1992-07-01","2014-09-01","135","0.104","0.0108","0.229867"," "
"","","","","","","",""
"7004400","1991-07-01","1996-10-01","34","0.1792","0.0321","0.310632"," "
"7004400","2000-10-01","2006-10-01","37","0.4174","0.1742","0.010161","*"
"7004400","2012-10-01","2017-09-01","30","0.4843","0.2345","0.006692","**"
"","","","","","","",""
"19002600","1992-05-01","2006-10-01","90","0.2389","0.0571","0.02332","*"
"19002600","2007-06-01","2015-08-01","51","0.1526","0.0233","0.284909"," "
"","","","","","","",""
"69000400","2004-09-01","2010-09-01","37","0.263","0.0692","0.115837"," "
"","","","","","","",""
"49013300","2005-05-01","2010-05-01","31","-0.0991","0.0098","0.595799"," "
"","","","","","","",""
"73010600","1990-05-01","2016-10-01","162","0.267","0.0713","0.000594","***"
"","","","","","","",""
"10004600","1998-06-01","2004-10-01","41","0.4807","0.2311","0.001467","**"
"10004600","2006-05-01","2013-09-01","47","0.4581","0.2099","0.001203","**"
"","","","","","","",""
"31060200","1990-05-01","1993-09-01","23","-0.1766","0.0312","0.420087"," "
"31060200","2001-05-01","2016-08-01","94","0.0293","9e-04","0.778872"," "
"","","","","","","",""
"31042400","1992-07-01","1995-09-01","21","0.143","0.0204","0.53633"," "
"31042400","1997-08-01","2001-06-01","23","0.1428","0.0204","0.515607"," "
"","","","","","","",""
"2008400","1990-05-01","2001-08-01","70","0.0393","0.0015","0.74661"," "
"2008400","2003-05-01","2017-10-01","90","0.1509","0.0228","0.15574"," "
"","","","","","","",""
"2005300","1990-05-01","2007-06-01","104","0.0971","0.0094","0.326983"," "
"2005300","2009-08-01","2015-05-01"," 34","0.1885","0.0355","0.285736"," "
"","","","","","","",""
"19005000","1994-05-01","2008-08-01","88","0.0827","0.0068","0.443482"," "
"19005000","2009-05-01","2015-10-01","42","0.1116","0.0125","0.481584"," "
"","","","","","","",""
"2001500","1992-05-01","2008-05-01","97","0.3015","0.0909","0.002687","**"
"","","","","","","",""
"82015300","1993-05-01","1995-10-01","18","0.2466","0.0608","0.323889"," "
"82015300","1997-10-01","2000-09-01","18","0.3073","0.0945","0.214757"," "
"82015300","2003-05-01","2006-05-01","19","-0.1771","0.0314","0.46824"," "
"","","","","","","",""
"82003600","1995-05-01","2001-10-01","42","0.3518","0.1237","0.022345","*"
"82003600","2002-07-01","2008-09-01","39","0.2295","0.0527","0.159911"," "
"","","","","","","",""
"69079600","1990-05-01","1992-09-01","17","0.105","0.011","0.688432"," "
"69079600","2005-05-01","2009-05-01","25","0.2763","0.0763","0.181261"," "
"","","","","","","",""
"69002800","1990-09-01","1993-09-01","19","0.2982","0.0889","0.214926"," "
"69002800","1998-08-01","2012-10-01","87","0.2294","0.0526","0.032606","*"
"69002800","2014-05-01","2017-05-01","19","0.1335","0.0178","0.585778"," "
"","","","","","","",""
"56078100","1992-07-01","2000-09-01","51","0.3254","0.1059","0.019822","*"
"56078100","2001-05-01","2006-09-01","35","0.2025","0.041","0.24331"," "
"","","","","","","",""
"56023800","1995-10-01","1998-10-01","19","0.2112","0.0446","0.385462"," "
"56023800","2003-05-01","2009-09-01","41","0.074","0.0055","0.645793"," "
"","","","","","","",""
"3008500","1990-05-01","2006-05-01","97","0.3572","0.1276","0.000329","***"
"3008500","2013-05-01","2017-10-01","30","0.1532","0.0235","0.418918"," "
"","","","","","","",""
"71014700","1990-08-01","2005-07-01","90","0.4407","0.1942","1.4e-05","***"
"","","","","","","",""
"10008600","2001-05-01","2006-08-01","34","0.4403","0.1939","0.009162","**"
"10008600","2007-09-01","2010-09-01","19","0.3969","0.1575","0.092492","."
"","","","","","","",""
"11020100","1990-06-01","2000-09-01","64","0.3683","0.1356","0.002754","**"
"11020100","2001-05-01","2004-09-01","23","0.2697","0.0727","0.213324"," "
"","","","","","","",""
"27019100","1994-05-01","2016-10-01","138","0.2908","0.0846","0.000539","***"
"","","","","","","",""
"70009100","1995-05-01","1999-08-01","28","0.5814","0.3381","0.001174","**"
"","","","","","","",""
"1020900","1993-10-01","1999-09-01","36","0.2165","0.0469","0.204608"," "
"1020900","2002-05-01","2009-10-01","48","0.3601","0.1296","0.011947","*"
"","","","","","","",""
"31035300","1990-09-01","1994-09-01","25","0.2957","0.0874","0.151298"," "
