"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"31021400","2003-05-01","2006-09-01","23","0.3804","0.1447","0.073377","."
"31021400","2007-05-01","2010-08-01","22","0.2699","0.0728","0.224524"," "
"","","","","","","",""
"30003500","2007-05-01","2014-05-01","43","0.1973","0.0389","0.204715"," "
"","","","","","","",""
"2002600","1990-05-01","1995-09-01","35","0.2763","0.0764","0.108089"," "
"2002600","2011-05-01","2014-08-01","22","0.7015","0.4921","0.000275","***"
"","","","","","","",""
"2003400","1990-05-01","1994-06-01","26","0.515","0.2652","0.007096","**"
"2003400","1994-08-01","2003-09-01","56","0.5326","0.2837","2.4e-05","***"
"2003400","2004-05-01","2011-05-01","43","0.3316","0.1099","0.029845","*"
"2003400","2011-08-01","2015-07-01","24","0.7769","0.6036","8e-06","***"
"","","","","","","",""
"31000300","1997-05-01","2006-05-01","55","0.4008","0.1607","0.002424","**"
"31000300","2013-06-01","2017-05-01","24","0.5133","0.2635","0.010301","*"
"","","","","","","",""
"82013700","1999-05-01","2002-10-01","24","0.5552","0.3082","0.004861","**"
"82013700","2005-05-01","2013-10-01","54","0.3974","0.1579","0.002927","**"
"","","","","","","",""
"82014600","1998-09-01","2001-08-01","18","0.407","0.1656","0.093701","."
"82014600","2005-05-01","2017-06-01","74","0.3434","0.1179","0.002738","**"
"","","","","","","",""
"82007600","1997-05-01","2002-07-01","33","0.3086","0.0952","0.080614","."
"82007600","2003-05-01","2006-09-01","23","-0.1788","0.032","0.414421"," "
"82007600","2009-05-01","2011-10-01","18","-0.0071","1e-04","0.97756"," "
"","","","","","","",""
"82008000","1997-06-01","2007-09-01","64","0.1915","0.0367","0.129542"," "
"","","","","","","",""
"82007700","1998-05-01","2009-08-01","70","0.1923","0.037","0.110675"," "
"82007700","2009-10-01","2014-06-01","27","0.0514","0.0026","0.799026"," "
"","","","","","","",""
"82006500","1998-05-01","2001-10-01","24","0.3855","0.1486","0.062833","."
"82006500","2002-06-01","2010-09-01","52","0.1404","0.0197","0.320857"," "
"","","","","","","",""
"69050100","1990-05-01","2010-10-01","126","0.097","0.0094","0.279826"," "
"69050100","2013-06-01","2017-10-01"," 29","0.0223","5e-04","0.908702"," "
"","","","","","","",""
"69023200","1999-05-01","2012-05-01","79","0.2684","0.0721","0.01676","*"
"69023200","2014-05-01","2017-05-01","19","0.3343","0.1118","0.161792"," "
"","","","","","","",""
"3038300","1998-05-01","2001-09-01","23","0.6549","0.4289","0.000695","***"
"3038300","2002-05-01","2005-09-01","23","0.3073","0.0944","0.153824"," "
"","","","","","","",""
"3038100","1995-05-01","2015-07-01","123","0.361","0.1303","4.1e-05","***"
"","","","","","","",""
"56038602","2010-05-01","2016-10-01","42","0.5701","0.325","8.1e-05","***"
"","","","","","","",""
"56038300","2003-05-01","2006-05-01","19","0.3814","0.1455","0.107135"," "
"","","","","","","",""
"15006800","1994-07-01","2008-08-01","86","0.2684","0.072","0.012473","*"
"15006800","2008-10-01","2017-05-01","50","0.4854","0.2356","0.000353","***"
"","","","","","","",""
"34018100","1997-10-01","2006-08-01","53","0.4592","0.2109","0.000543","***"
"34018100","2007-05-01","2010-07-01","21","0.2189","0.0479","0.340347"," "
"","","","","","","",""
"73019600","1990-05-01","2002-09-01","77","0.5763","0.3321","0","***"
"73019600","2014-05-01","2017-10-01","24","0.465","0.2162","0.022048","*"
"","","","","","","",""
"86009000","1990-06-01","1999-05-01","54","0.0411","0.0017","0.76816"," "
"86009000","2014-05-01","2016-10-01","18","0.447","0.1998","0.062925","."
"","","","","","","",""
"29024200","1991-05-01","2000-09-01","59","0.1893","0.0358","0.151062"," "
"","","","","","","",""
"29024300","2001-05-01","2006-07-01","33","0.4053","0.1643","0.019276","*"
"29024300","2007-05-01","2016-07-01","57","0.5837","0.3408","2e-06","***"
"","","","","","","",""
"18037400","1990-05-01","2001-09-01","71","0.2954","0.0872","0.012399","*"
"18037400","2002-05-01","2009-07-01","45","0.2437","0.0594","0.10665"," "
"","","","","","","",""
"49002400","2010-05-01","2014-08-01","28","0.488","0.2382","0.008421","**"
"","","","","","","",""
"4019600","2007-09-01","2012-05-01","27","0.2937","0.0862","0.137077"," "
"","","","","","","",""
"81009500","1990-06-01","1993-09-01","22","0.7562","0.5719","4.7e-05","***"
"81009500","2005-06-01","2008-09-01","22","0.0264","7e-04","0.907233"," "
"81009500","2013-05-01","2016-10-01","24","0.6748","0.4554","0.000298","***"
"","","","","","","",""
"30007200","2004-05-01","2012-05-01","49","0.4622","0.2136","0.000828","***"
"","","","","","","",""
"13008300","1991-05-01","1997-09-01","41","0.4802","0.2306","0.001485","**"
"13008300","2001-05-01","2010-05-01","55","0.3081","0.0949","0.022112","*"
"","","","","","","",""
"1002300","2004-05-01","2007-08-01","22","0.2945","0.0867","0.183411"," "
"1002300","2009-05-01","2016-07-01","45","0.4181","0.1748","0.004266","**"
"","","","","","","",""
"58014200","1993-05-01","2000-10-01","48","0.396","0.1568","0.005335","**"
"58014200","2001-06-01","2013-07-01","74","0.5609","0.3146","0","***"
"","","","","","","",""
"31055400","1994-05-01","1997-09-01","23","0.2765","0.0764","0.20159"," "
"31055400","1998-05-01","2006-09-01","53","0.5258","0.2764","5.3e-05","***"
"","","","","","","",""
"69056500","1990-07-01","1999-10-01","58","0.3909","0.1528","0.002414","**"
"69056500","2004-05-01","2007-06-01","20","0.324","0.105","0.163455"," "
"","","","","","","",""
"3036000","1993-10-01","1999-08-01","35","0.1191","0.0142","0.495632"," "
"3036000","2007-05-01","2010-05-01","19","-0.0725","0.0053","0.767961"," "
"","","","","","","",""
"60002700","2007-07-01","2010-08-01","20","0.3792","0.1438","0.099209","."
"60002700","2014-05-01","2017-09-01","23","0.303","0.0918","0.159968"," "
"","","","","","","",""
"15007900","2002-05-01","2005-05-01","19","0.3436","0.118","0.149833"," "
