ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
18032300,1211.915,1212.057,1212.084,1212.513,1212.882,1213.569,1213.342,1214.02,1213.795,1214.277,1214.15,1214.39,1214.125,1213.99,1212.904,1213.04,1212.688,1211.647,1211.879,1212.41,1212.823,1213.719,1213.847,1214.068,1214.529,1214.192,1214.653
18032900,1205.51,1205.465,1205.506,1205.354,1205.231,1205.444,1205.666,1205.43,1205.591,1205.755,1206.016,1205.822,1205.463,1205.327,1205.238,1205.329,1205.152,1205.037,1205.302,1205.346,1205.461,1205.605,1205.648,1205.51,1205.25,1204.84,1205.021
18033500,1204.505,1204.588,1204.657,1205.051,1205.333,1205.793,1206.274,1206.46,1206.251,1206.638,1206.729,1207.054,1206.564,1206.263,1205.299,1205.813,1204.909,1203.998,1204.089,1204.484,1205.224,1206.114,1206.146,1206.47,1206.15,1206.28,1206.32
18033800,1199.745,1199.871,1199.936,1200.233,1200.189,1200.317,1200.063,1200.287,1199.981,1200.327,1200.197,1200.307,1200.166,1199.867,1199.659,1199.801,1199.752,1199.758,1199.684,1200.057,1200.172,1200.219,1200.299,1200.38,1200.39,1200.12,1200.339
18034200,1206.637,1206.832,1206.46,1206.83,1207.013,1207.427,1207.934,1208.254,1207.739,1208.043,1207.821,1208.233,1207.596,1207.369,1206.522,1206.627,1206.495,1205.893,1206.114,1206.287,1206.428,1207.04,1207.375,1207.514,1207.705,1207.52,1207.59
18035100,1206.407,1206.527,1206.369,1206.741,1206.847,1207.256,1207.783,1207.563,1207.267,1207.614,1207.28,1207.619,1207.276,1207.08,1206.551,1206.905,1206.51,1206.412,1206.489,1206.775,1206.994,1207.465,1207.964,1208.11,1208.32,1207.92,1208.14
18037200,1196.927,1196.856,1196.955,1197.517,1197.714,1197.799,1197.924,1197.51,1197.34,1197.751,1197.308,1197.778,1197.597,1197.259,1196.844,1197.058,1196.741,1196.247,1196.742,1197.249,1197.815,1197.996,1198.227,1197.77,1197.98,1197.51,1198.228
18037400,1198.179,1198.433,1198.756,1198.664,1198.691,1198.706,1198.425,1198.655,1198.346,1198.549,1198.288,1198.743,1198.416,1198.272,1198.252,1198.729,1198.22,1198.001,1198.562,1198.31,1198.555,1199.042,1198.828,1198.734,1198.775,1198.287,1198.572
18037500,1197.366,1197.419,1197.473,1197.993,1198.245,1198.827,1198.534,1198.856,1198.47,1198.812,1198.319,1198.977,1198.549,1198.282,1197.881,1198.5,1198.056,1197.333,1197.514,1198.005,1198.591,1199.374,1199.106,1198.92,1198.79,1198.23,1198.44
18040900,1210.842,1210.933,1210.905,1211.131,1211.304,1211.713,1212.327,1212.606,1212.268,1212.481,1212.162,1212.317,1211.902,1211.61,1211.19,1210.968,1211.2,1210.85,1210.96,1211.3,1211.38,1212.011,1212.062,1212.49,1212.38,1212.65,1212.22
19002600,977.28,978.345,981.642,983.376,982.472,982.457,981.941,982.74,982.544,982.443,980.894,981.223,981.625,981.847,980.436,980.76,981.564,980.464,980.974,979.001,980.576,982.727,981.209,982.819,982.963,981.567,982.669
21005700,1356.263,1356.546,1356.219,1356.717,1356.301,1356.739,1356.608,1357.1,1356.48,1356.471,1356.34,1357,1356.549,1356.908,1356.38,1356.887,1356.395,1356.332,1356.374,1357.08,1356.631,1357.405,1356.668,1356.745,1357.213,1356.717,1356.527
21008300,1365.815,1365.894,1365.92,1366.275,1366.005,1366.131,1366.084,1366.164,1365.975,1366.393,1365.953,1366.499,1366.011,1366.115,1365.968,1366.178,1365.579,1366.059,1365.969,1365.972,1365.987,1366.394,1366.039,1366.168,1366.6,1365.975,1366.203
21012300,1363.79,1363.814,1363.849,1364.084,1363.915,1364.165,1363.956,1363.899,1363.766,1364.28,1363.794,1364.38,1363.856,1364.109,1363.554,1363.99,1363.546,1363.689,1363.947,1363.705,1363.907,1364.101,1364.155,1364.126,1364.503,1364.253,1363.976
21014400,1359.658,1360.312,1361.048,1361.96,1361.705,1361.9,1361.811,1362.251,1361.361,1361.703,1360.894,1362.271,1361.765,1362.05,1360.909,1361.506,1361.245,1361.028,1360.605,1361.079,1361.175,1362.968,1361.671,1361.492,1361.606,1360.934,1360.925
21021200,1350.59,1350.19,1350.6,1351.317,1350.92,1350.643,1350.422,1350.832,1350.54,1350.71,1350.48,1351.21,1350.635,1350.429,1350.52,1350.896,1350.971,1351.127,1351.091,1351.163,1351.094,1351.747,1351.219,1351.67,1351.852,1351.525,1350.988
21037500,1213.255,1213.253,1212.465,1213.41,1213.267,1213.466,1213.33,1213.343,1213.023,1213.411,1212.981,1213.253,1213.343,1212.727,1213.298,1213.25,1213.243,1213.224,1213.18,1213.597,1213.515,1213.854,1211.96,1212.463,1213.104,1212.331,1211.643
27008800,895.563,895.746,896.317,896.38,896.433,896.348,896.315,896.291,896.31,896.3,895.972,896.139,896.362,896.225,896.122,896.326,896.22,895.946,895.937,895.592,895.45,895.855,895.515,895.46,896.65,896.35,896.1
27010400,887.948,888.438,888.188,888.55,888.12,888.216,887.771,888.205,888.085,888.058,887.98,888.021,888.479,888.187,888.032,888.044,887.92,887.943,887.737,887.335,888.006,888.012,887.909,888.134,888.102,887.898,888.16
27010700,932.459,934.897,934.156,935.879,935.107,935.4,934.932,935.583,935.323,935.264,935.433,935.87,936.171,935.749,935.741,935.335,935.632,935.666,935.497,933.777,934.05,935.365,934.619,935.378,936.058,935.443,935.462
27011100,873.765,873.984,873.755,873.91,873.816,873.867,873.522,873.746,873.7,873.728,873.609,873.799,873.967,873.546,873.751,873.78,873.598,873.682,873.778,873.487,873.807,873.952,873.555,873.751,874.079,873.783,874.225
27011600,891.107,891.428,891.185,891.449,891.186,891.341,889.665,889.868,891.083,891.206,890.984,891.278,890.763,890.406,890.462,891.428,891.232,891.086,891.12,891.076,891.35,891.251,891.023,891.305,891.543,889.774,891.563
27011700,912.35,913.213,912.949,913.353,913.415,913.49,913.134,913.289,913.316,913.363,913.053,913.193,913.48,913.081,913.202,913.291,913.231,912.975,913.056,912.981,913.391,913.276,913.058,913.189,913.471,913.26,913.455
27011800,891.456,891.888,891.322,891.531,891.32,891.606,891.067,891.254,891.007,891.254,890.973,891.202,891.457,890.98,891.261,891.504,891.239,890.948,891.028,890.87,891.428,891.421,891.074,891.31,891.587,891.306,891.759
27011900,901.974,902.555,902.42,902.554,902.436,902.364,902.043,902.305,902.366,902.107,901.779,902.516,902.522,901.836,902.213,902.462,902.239,902.165,902.262,901.646,902.409,902.74,902.265,902.497,902.835,902.522,902.983
27012100,934.972,936.353,936.155,936.213,936.163,936.236,936.029,935.971,936.239,936.252,935.753,936.104,936.457,935.431,935.518,935.617,935.266,935.307,935.466,934.723,935.484,935.823,935.191,935.402,935.524,935.311,935.636
27013300,926.387,928.818,929.214,929.674,929.157,929.065,929.106,929.418,929.216,929.392,928.229,929.299,929.73,929.204,928.84,929.31,929.435,929,929.131,928.251,929.174,929.431,928.421,929.265,929.908,928.78,929.178
27017600,954.56,957.618,957.317,958.093,957.466,956.967,956.445,957.054,956.696,957.105,956.146,957.519,958.488,958.027,957.681,957.18,957.272,956.722,957.145,956.377,957.47,958.204,957.546,957.879,957.781,956.647,957.589
29007100,1327.62,1327.199,1326.819,1327.049,1327.537,1328.125,1328.483,1328.939,1328.472,1328.501,1328.465,1328.166,1328.202,1327.605,1327.221,1327.709,1327.502,1327.177,1327.09,1328.074,1328.21,1328.5,1327.76,1327.999,1328.512,1328.454,1328.551
29015000,1427.588,1427.92,1427.846,1428.362,1428.18,1427.933,1427.88,1428.39,1428.56,1429.176,1429.044,1429.414,1429.054,1428.387,1427.895,1428.208,1428.156,1428.049,1428.079,1428.002,1428.043,1428.413,1427.986,1428.067,1428.173,1427.958,1428.017
29015600,1342.527,1342.754,1342.958,1343.95,1343.152,1342.857,1342.651,1343.347,1342.912,1343.6,1343.005,1343.119,1343.186,1342.474,1342.492,1342.739,1342.329,1342.652,1342.859,1342.725,1342.779,1343.23,1342.506,1342.838,1343.25,1342.935,1342.8
29024300,1439.1,1439.584,1439.718,1439.911,1439.943,1439.595,1439.5,1439.982,1439.784,1440.164,1439.903,1439.674,1439.937,1439.653,1439.79,1439.6,1439.665,1439.635,1439.821,1439.612,1439.75,1439.692,1439.501,1439.721,1439.957,1439.587,1439.629
30000900,894.165,894.19,893.849,894.495,894.15,894.927,894.244,893.744,893.5,893.711,893.58,895.177,894.39,893.807,893.747,893.4,893.798,893.43,893.652,893.519,893.854,894.085,893.919,893.768,894.303,894.038,893.861
30002200,947.14,948.173,947.992,948.283,948.001,948.27,948.005,947.765,947.52,947.612,946.874,947.942,948.303,947.969,947.819,947.837,947.177,947.134,947.559,947.208,947.971,948.723,948.203,948.062,948.722,948.062,948.337
30013600,921.589,921.734,921.139,921.309,921.342,922.2,922.02,922.31,921.08,921.764,920.993,922.668,922.272,921.989,921.42,921.32,921.54,921.28,921.2,921.331,920.93,922.15,922.98,921.9,921.004,921.463,921.33
31026000,1388.139,1387.535,1387.199,1387.218,1387.478,1387.366,1387.981,1388.381,1388.266,1388.845,1388.622,1389.199,1388.51,1387.81,1386.497,1387.874,1387.403,1386.702,1386.681,1386.388,1385.959,1386.491,1386.537,1386.499,1386.813,1386.39,1386.613
31029200,1398.799,1398.362,1398.143,1398.406,1398.65,1398.674,1399.264,1399.877,1399.144,1399.545,1399.088,1399.525,1399.197,1398.458,1398.222,1398.654,1398.447,1397.821,1398.092,1398.054,1397.916,1398.749,1398.449,1398.393,1398.762,1398.077,1398.177
31035300,1261.588,1261.792,1261.752,1262.498,1261.517,1261.051,1261.218,1261.044,1261.071,1262.445,1261.273,1261.825,1261.088,1260.595,1261.09,1261.256,1260.838,1261.198,1261.88,1261.91,1261.37,1262.121,1263.128,1262.114,1262.663,1261.15,1261.7
31041300,1368.206,1367.578,1367.514,1367.741,1368.089,1368.108,1368.569,1368.893,1368.555,1369.071,1368.679,1368.779,1368.722,1368,1367.462,1367.59,1367.23,1366.68,1366.67,1366.729,1366.398,1366.868,1367.023,1367.124,1367.36,1367.045,1367.351
31042200,1367.991,1367.329,1366.81,1367.314,1367.699,1367.557,1368.116,1368.437,1368.223,1368.619,1368.289,1368.289,1368.137,1367.482,1367.106,1367.448,1367.268,1366.662,1366.603,1366.578,1366.228,1367.033,1367.388,1367.186,1367.73,1367.368,1367.691
31042400,1366.886,1366.088,1365.751,1365.936,1366.432,1366.554,1367.143,1367.61,1367.209,1367.638,1367.272,1367.308,1367.07,1366.284,1365.726,1365.95,1366.29,1365.51,1365.15,1366.1,1363.748,1365.31,1365.833,1365.87,1366.133,1365.667,1366.035
31043800,1361.984,1360.845,1359.8,1359.717,1360.21,1360.6,1361.548,1362.391,1362.17,1362.431,1362.199,1362.092,1361.837,1360.239,1359.805,1359.932,1359.893,1358.878,1358.548,1358.572,1358.065,1358.641,1359.358,1359.72,1360.112,1359.535,1359.779
31053800,1368.501,1367.773,1367.496,1367.752,1368.041,1367.991,1368.54,1369.015,1368.711,1369.346,1368.815,1369.156,1368.933,1368.181,1367.764,1368.044,1367.615,1366.917,1366.817,1367.11,1366.38,1367.073,1367.43,1367.84,1367.92,1367.663,1368.17
31057100,1276.48,1276.891,1276.984,1277.038,1276.787,1276.917,1276.853,1277.022,1276.619,1277.401,1276.698,1276.421,1276.295,1276.39,1276.541,1276.62,1276.597,1276.598,1276.764,1276.758,1277.069,1277.187,1276.961,1276.938,1277.075,1276.389,1276.81
