"","ID","Start_Year","End_Year","Length","R_Linear","R_Quar","R_Exponen","Correlation","pvalue"
"408","18037200","1990","2016","27","0.0897","0.3564","0.0897","0.299","0.1292"
"409"," "," "," "," "," "," "," "," "," "
"410","18037400","1990","2016","27","0.0205","0.0207","0.0205","0.143","0.4761"
"411"," "," "," "," "," "," "," "," "," "
"412","18037500","1990","2016","27","0.0506","0.1061","0.0507","0.225","0.2591"
"413"," "," "," "," "," "," "," "," "," "
"414","18037600","2004","2016","13","0.0142","0.148","0.0142","0.119","0.6987"
"415"," "," "," "," "," "," "," "," "," "
"416","18039200","1990","2015","26","0.0139","0.5616","0.0139","0.118","0.5665"
"417"," "," "," "," "," "," "," "," "," "
"418","18040700","1991","2016","26","0.0121","0.0574","0.0121","0.11","0.5934"
"419"," "," "," "," "," "," "," "," "," "
"420","18040900","1990","2016","27","0.0148","0.0789","0.0148","0.122","0.5454"
"421"," "," "," "," "," "," "," "," "," "
"422","19002400","1996","2016","21","0.1404","0.1612","0.1404","0.375","0.0943"
"423"," "," "," "," "," "," "," "," "," "
"424","19002600","1990","2016","27","0.0026","0.6094","0.0026","0.051","0.8003"
"425"," "," "," "," "," "," "," "," "," "
"426","19003100","1992","2016","25","0.4309","0.3799","0.4309","0.656","4e-04"
"427"," "," "," "," "," "," "," "," "," "
"428","19004900","2001","2016","16","0.0066","0.0138","0.0066","0.081","0.7644"
"429"," "," "," "," "," "," "," "," "," "
"430","19005000","1994","2016","23","0.0183","0.0299","0.0183","0.135","0.5386"
"431"," "," "," "," "," "," "," "," "," "
"432","21005200","1992","2012","21","0.1689","0.1741","0.1689","0.411","0.0642"
"433"," "," "," "," "," "," "," "," "," "
"434","21005400","1991","2016","26","0.1695","0.1719","0.1696","0.412","0.0366"
"435"," "," "," "," "," "," "," "," "," "
"436","21005600","1991","2016","26","0.0726","0.197","0.0727","0.27","0.183"
"437"," "," "," "," "," "," "," "," "," "
"438","21005700","1990","2016","27","0.1094","0.1497","0.1095","0.331","0.0919"
"439"," "," "," "," "," "," "," "," "," "
"440","21007300","1997","2016","20","0.0067","0.4582","0.0067","0.082","0.7309"
"441"," "," "," "," "," "," "," "," "," "
"442","21007600","1995","2016","22","0.082","0.1773","0.082","0.286","0.1963"
