"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"2013300","NaN","NaN","NaN","NaN","NaN","1468.133","1468.06","1468.173","1468.306","1468.109","1468.48","1468.173","1468.2","1468.105","1468.23","1468.3","1468.29","1468.52","1468.28","1468.27","1468.25","1468.33","NaN","1468.47","1468.245","1468.057","1468.165","1468.17"
"3001000","NaN","1455.906","1455.893","1456.57","1456.048","1456.12","1456.582","1455.846","1456.177","1456.191","1456.167","1456.047","1456.276","1456.052","1455.923","1456.015","1455.913","1455.97","1456.151","1455.92","1456.118","1456.066","1455.843","1456.234","1456.26","1456.256","1455.865","1455.834"
"3001700","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1547.57","NaN","NaN","NaN","NaN","NaN","NaN","1547.235","1547.69","1547.415","1547.32","1547.505","1547.49","1547.468","1547.622","1547.088","1547.8","1547.665","1547.271","NaN","1546.944"
"3003000","1592.827","1592.437","1591.671","1592.104","1593.223","1593.809","1594.253","1595.24","1596.108","1596.96","1597.086","1597.782","1597.929","1597.507","1596.673","1596.966","1596.685","1596.216","1596.543","1596.99","1597.25","1597.94","NaN","1596.531","1596.903","1596.547","1596.042","1595.504"
"3008500","NaN","NaN","NaN","1506.6","1506.614","1506.152","1506.081","1506.085","1506.389","1506.311","1506.009","1505.957","1505.742","1505.604","1505.613","1506.599","1506.517","1506.411","1506.59","1505.894","1506.598","1506.403","1505.628","1506.083","1506.309","1505.728","1506.247","1506.177"
"3010700","NaN","NaN","NaN","1609.602","1610.251","1610.752","1611.097","1611.969","1612.533","1613.349","1613.027","1613.845","1613.654","1612.781","1612.233","1612.801","1612.677","1612.105","1612.315","1612.819","1613.03","1614.015","NaN","1612.471","1612.959","1612.424","1612.164","1612.041"
"3013600","NaN","NaN","NaN","NaN","NaN","1545.474","1545.41","1545.99","1545.883","1545.725","1545.616","1545.621","1545.317","1545.009","1544.911","1545.63","1545.81","1545.651","1545.809","1545.572","1546.011","1545.707","1545.098","1545.468","1545.76","1545.391","1545.658","1545.303"
"3015300","1493.7","1493.58","1493.919","1494.539","1494.025","1494.036","1493.894","1494.198","1494.183","1494.146","1494.662","1494.43","1494.278","1494.023","1494.218","1494.511","1493.878","1494.112","1494.193","1494.108","1494.317","1494.687","1493.434","1494.158","1494.574","1494.402","1494.394","1494.42"
"3015500","NaN","NaN","NaN","NaN","NaN","NaN","1497.43","1497.4","1497.27","NaN","NaN","NaN","1497.18","1497.42","1497.42","1497.45","1497.5","1497.1","1498.45","1497.59","1497.66","1497.76","NaN","NaN","1497.78","1497.497","1497.338","1497.49"
"3015800","NaN","NaN","1499.486","1500.169","1499.653","1499.596","1499.529","1499.747","1499.458","1499.643","1499.22","1499.319","1499.254","1498.821","1499.226","1499.311","1498.9","1499.022","1499.308","1499.165","1499.42","1499.251","1498.981","1499.119","1499.406","1499.239","1499.096","1498.884"
"3015900","NaN","1443.38","1443.585","1443.872","1443.494","1443.378","1443.403","1443.587","1443.712","1443.828","1443.488","1442.895","1443.286","1443.203","1443.497","1443.504","1443.445","NaN","1443.642","1443.334","1443.673","1443.47","1443.257","1443.427","1443.726","1443.354","1443.635","1443.395"
"3018900","1453.62","1453.522","1453.443","1454.84","1453.935","1453.765","1453.868","1454.171","1454.061","1454.093","1453.729","1453.865","1453.845","1453.819","1453.847","1454.01","1453.587","1453.791","1454.124","1453.909","1454.325","1454.006","1453.438","1453.962","1454.437","1453.95","1454.24","1454.5"
"3019500","NaN","NaN","1499.45","1499.78","1499.755","1499.38","1499.72","1499.47","1499.511","1499.484","1499.257","1499.168","1498.76","1498.78","1499.072","1499.01","1498.45","1498.56","1498.587","1498.223","1498.478","1498.229","1497.882","1497.985","1498.087","1497.47","1497.505","1497.36"
"3023400","1442.222","1442.359","1441.94","1443.157","1443.335","1443.089","1443.418","1443.93","1443.441","1443.26","1442.944","1442.994","1442.355","1442.367","1441.904","1442.754","1442.55","1442.577","1442.562","1443.019","1442.954","1443.024","1441.906","1441.92","1442.336","1441.76","1441.583","1441.589"
"3028600","NaN","NaN","1435.025","1435.82","1436.64","1436.938","1437.193","1438.3","1439.38","1440.309","1439.817","1439.586","1438.677","1437.569","1437.114","1438.012","1438.354","1438.489","1438.52","1439.304","1439.849","1440.995","1439.747","1439.025","1438.929","1438.187","1437.797","1437.652"
"3028700","NaN","NaN","NaN","NaN","NaN","1439.514","1440.151","1440.398","1440.292","1440.132","1439.748","1439.727","1439.357","1439.689","1439.97","1440.109","1439.044","1439.605","1439.171","1440.56","1440.705","1440.977","1440.072","1441.12","1440.607","1440.36","1440.54","1440.89"
"3029300","NaN","NaN","NaN","1489.07","1491.449","1492.155","1493.13","1492.926","1492.899","1492.366","NaN","1492.183","1491.873","1490.994","1490.477","1491.814","1491.331","1491.383","1491.329","1491.567","1491.783","1491.636","1490.73","1490.557","1490.77","1490.37","1490.671","1491.2"
"3030400","NaN","NaN","1482.085","NaN","NaN","NaN","NaN","NaN","NaN","1484.599","1484.407","1484.374","1484.379","1483.932","1483.888","1484.067","1483.829","1484.13","1484.129","1484.38","1484.442","1484.173","1483.654","1484.149","1484.559","1484.58","1484.28","1484.58"
"3032300","NaN","NaN","1449.069","1449.416","1449.252","1449.285","1449.233","1449.511","1449.406","1449.732","1449.723","1450.16","1450.068","1449.062","1449.471","1449.757","1449.322","1449.401","1449.512","1449.634","1449.939","1449.706","1449.022","1449.334","1449.509","1449.326","1449.623","1449.279"
"3032800","NaN","NaN","1438.542","1439.306","1438.553","1438.3","1438.87","1438.963","1438.784","1438.942","NaN","1438.785","1438.673","1438.72","1438.71","1438.737","1438.544","1438.874","1439.21","1438.687","1438.753","1439.001","1438.385","1438.601","1438.797","1438.53","1438.684","1438.378"
"3035000","NaN","NaN","1333.468","1333.56","1333.633","1333.702","1333.839","1334.08","1333.884","1333.63","1333.93","1333.679","1333.787","1333.606","1333.68","1333.733","1333.742","1333.741","1333.73","1333.683","1333.76","1333.7","1333.525","1333.572","1333.562","1333.404","1333.42","1333.463"
"3035800","1328.933","1329.025","1328.78","1329.937","1329.091","1329.107","1329.177","1329.962","1329.777","1329.817","1329.565","1329.695","1329.426","1329.242","1329.777","1329.93","1329.935","1329.734","1329.763","1329.768","1329.95","1329.978","1329.452","1329.582","1329.813","1329.02","1329.76","1329.528"
